review_id,review_order,source_split,source_chunk_id,chunk_review_id,issue_type,priority_score,recommended_review_action,image_path,label_path,overlay_path,crop_path,gt_damage_area_count,pred_damage_area_count,tp_damage_area_count,fn_damage_area_count,fp_damage_area_count,gt_damaged_block_count,pred_damaged_block_count,matched_damaged_block_count,min_gt_damage_area_norm_area,max_fp_damage_area_conf,has_near_miss_iou_025_050,gt_damage_area_boxes,pred_damage_area_boxes,fn_damage_area_boxes,fp_damage_area_boxes,review_decision,bbox_source,review_notes,allowed_review_decisions
tactile3-da-final-001,1,val,02432_02559,tactile3-da-001,mixed_fn_fp_damage_area,110.7787,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/001_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/001_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.jpg,3,12,0,3,12,1,2,1,0.003006,0.3557,False,"2:0.454703,0.645746,0.268391,0.114157;2:0.492707,0.276281,0.138551,0.063789;2:0.501709,0.118327,0.089968,0.033413","2:0.345481,0.685371,0.048138,0.033032:0.3557;2:0.463828,0.639033,0.233393,0.019164:0.3301;2:0.466666,0.598991,0.238648,0.025466:0.2263;2:0.391839,0.601225,0.083325,0.016236:0.2125;2:0.451334,0.445570,0.105648,0.014454:0.1848;2:0.451108,0.444572,0.121947,0.020312:0.1757;2:0.546184,0.597602,0.079343,0.016268:0.1595;2:0.494313,0.250089,0.102046,0.016155:0.1209;2:0.466042,0.600339,0.237272,0.024488:0.1122;2:0.344940,0.684083,0.057657,0.039981:0.0867;2:0.453344,0.443382,0.114909,0.018870:0.0682;2:0.550241,0.338222,0.031385,0.009201:0.0571","2:0.454703,0.645746,0.268391,0.114157;2:0.492707,0.276281,0.138551,0.063789;2:0.501709,0.118327,0.089968,0.033413","2:0.345481,0.685371,0.048138,0.033032:0.3557;2:0.463828,0.639033,0.233393,0.019164:0.3301;2:0.466666,0.598991,0.238648,0.025466:0.2263;2:0.391839,0.601225,0.083325,0.016236:0.2125;2:0.451334,0.445570,0.105648,0.014454:0.1848;2:0.451108,0.444572,0.121947,0.020312:0.1757;2:0.546184,0.597602,0.079343,0.016268:0.1595;2:0.494313,0.250089,0.102046,0.016155:0.1209;2:0.466042,0.600339,0.237272,0.024488:0.1122;2:0.344940,0.684083,0.057657,0.039981:0.0867;2:0.453344,0.443382,0.114909,0.018870:0.0682;2:0.550241,0.338222,0.031385,0.009201:0.0571",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-002,2,val,02560_02687,tactile3-da-001,mixed_fn_fp_damage_area,108.1962,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/002_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/002_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.jpg,3,14,1,2,13,1,1,1,0.007985,0.6579,True,"2:0.457223,0.948571,0.121673,0.100000;2:0.685359,0.827143,0.111533,0.140000;2:0.610581,0.935000,0.124207,0.064286","2:0.536417,0.951813,0.286813,0.096373:0.6579;2:0.688381,0.827678,0.111595,0.131896:0.6115;2:0.547255,0.449345,0.109974,0.049417:0.4864;2:0.547631,0.725064,0.103042,0.048828:0.3190;2:0.487965,0.495966,0.035627,0.029955:0.2858;2:0.570056,0.224512,0.076672,0.038234:0.1523;2:0.551747,0.231018,0.030223,0.020396:0.1487;2:0.582884,0.935774,0.057599,0.050530:0.1059;2:0.552626,0.449039,0.062429,0.046956:0.0991;2:0.563310,0.725143,0.138297,0.049680:0.0931;2:0.490557,0.495587,0.048419,0.039710:0.0802;2:0.575457,0.864889,0.055631,0.054250:0.0761;2:0.565530,0.725419,0.145323,0.051659:0.0749;2:0.622506,0.828572,0.253029,0.137349:0.0704","2:0.457223,0.948571,0.121673,0.100000;2:0.610581,0.935000,0.124207,0.064286","2:0.536417,0.951813,0.286813,0.096373:0.6579;2:0.547255,0.449345,0.109974,0.049417:0.4864;2:0.547631,0.725064,0.103042,0.048828:0.3190;2:0.487965,0.495966,0.035627,0.029955:0.2858;2:0.570056,0.224512,0.076672,0.038234:0.1523;2:0.551747,0.231018,0.030223,0.020396:0.1487;2:0.582884,0.935774,0.057599,0.050530:0.1059;2:0.552626,0.449039,0.062429,0.046956:0.0991;2:0.563310,0.725143,0.138297,0.049680:0.0931;2:0.490557,0.495587,0.048419,0.039710:0.0802;2:0.575457,0.864889,0.055631,0.054250:0.0761;2:0.565530,0.725419,0.145323,0.051659:0.0749;2:0.622506,0.828572,0.253029,0.137349:0.0704",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-003,3,val,02560_02687,tactile3-da-002,mixed_fn_fp_damage_area,107.4545,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/003_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/003_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.jpg,3,14,1,2,13,1,1,1,0.001318,0.5488,True,"2:0.542140,0.495714,0.108998,0.022857;2:0.492711,0.365000,0.167300,0.027143;2:0.403991,0.184286,0.065906,0.020000","2:0.502527,0.358264,0.211337,0.028017:0.5488;2:0.451438,0.367474,0.104067,0.009599:0.2190;2:0.415634,0.178799,0.077053,0.014797:0.2161;2:0.473180,0.505009,0.290558,0.046912:0.1676;2:0.471132,0.492724,0.289972,0.024830:0.1447;2:0.539650,0.506179,0.152455,0.041881:0.1436;2:0.604860,0.630378,0.058898,0.044068:0.1101;2:0.541674,0.495528,0.121010,0.018532:0.1008;2:0.608994,0.634611,0.047886,0.034884:0.0992;2:0.537837,0.494747,0.157449,0.022207:0.0779;2:0.390191,0.263947,0.056713,0.007002:0.0571;2:0.547381,0.494819,0.140667,0.021405:0.0546;2:0.609281,0.627202,0.047781,0.027912:0.0533;2:0.417168,0.178937,0.082258,0.019758:0.0507","2:0.492711,0.365000,0.167300,0.027143;2:0.403991,0.184286,0.065906,0.020000","2:0.502527,0.358264,0.211337,0.028017:0.5488;2:0.451438,0.367474,0.104067,0.009599:0.2190;2:0.415634,0.178799,0.077053,0.014797:0.2161;2:0.473180,0.505009,0.290558,0.046912:0.1676;2:0.471132,0.492724,0.289972,0.024830:0.1447;2:0.539650,0.506179,0.152455,0.041881:0.1436;2:0.604860,0.630378,0.058898,0.044068:0.1101;2:0.608994,0.634611,0.047886,0.034884:0.0992;2:0.537837,0.494747,0.157449,0.022207:0.0779;2:0.390191,0.263947,0.056713,0.007002:0.0571;2:0.547381,0.494819,0.140667,0.021405:0.0546;2:0.609281,0.627202,0.047781,0.027912:0.0533;2:0.417168,0.178937,0.082258,0.019758:0.0507",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-004,4,val,03328_03455,tactile3-da-001,mixed_fn_fp_damage_area,106.7899,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/004_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/004_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.jpg,3,11,0,3,11,1,1,1,0.003672,0.5833,True,"2:0.403991,0.706429,0.065906,0.055714;2:0.504117,0.568571,0.215462,0.074286;2:0.473699,0.851429,0.169835,0.131429","2:0.385682,0.717768,0.050777,0.048250:0.5833;2:0.543849,0.312361,0.090426,0.015792:0.3502;2:0.534500,0.562099,0.028646,0.073202:0.2159;2:0.595498,0.553636,0.032969,0.091427:0.2144;2:0.539519,0.313078,0.099655,0.019143:0.1882;2:0.412265,0.583751,0.025092,0.031840:0.1833;2:0.534243,0.562664,0.031516,0.072051:0.1606;2:0.548898,0.890780,0.042402,0.030888:0.0965;2:0.432085,0.300922,0.027184,0.011617:0.0737;2:0.433063,0.299628,0.029597,0.013355:0.0707;2:0.428734,0.354156,0.024514,0.013096:0.0551","2:0.403991,0.706429,0.065906,0.055714;2:0.504117,0.568571,0.215462,0.074286;2:0.473699,0.851429,0.169835,0.131429","2:0.385682,0.717768,0.050777,0.048250:0.5833;2:0.543849,0.312361,0.090426,0.015792:0.3502;2:0.534500,0.562099,0.028646,0.073202:0.2159;2:0.595498,0.553636,0.032969,0.091427:0.2144;2:0.539519,0.313078,0.099655,0.019143:0.1882;2:0.412265,0.583751,0.025092,0.031840:0.1833;2:0.534243,0.562664,0.031516,0.072051:0.1606;2:0.548898,0.890780,0.042402,0.030888:0.0965;2:0.432085,0.300922,0.027184,0.011617:0.0737;2:0.433063,0.299628,0.029597,0.013355:0.0707;2:0.428734,0.354156,0.024514,0.013096:0.0551",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-005,5,val,03072_03199,tactile3-da-001,mixed_fn_fp_damage_area,106.6457,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/005_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/005_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.jpg,3,14,1,2,13,1,1,1,0.000454,0.4526,False,"2:0.422058,0.540095,0.044770,0.027351;2:0.438564,0.420967,0.048603,0.023572;2:0.434822,0.326643,0.021311,0.021299","2:0.676190,0.481053,0.042254,0.124012:0.4526;2:0.468267,0.190451,0.061496,0.017874:0.3988;2:0.624397,0.121502,0.084781,0.030551:0.2717;2:0.420464,0.543683,0.048281,0.024069:0.2077;2:0.625320,0.124462,0.079543,0.021694:0.1455;2:0.475698,0.411528,0.124564,0.041167:0.1369;2:0.442832,0.294510,0.034327,0.025182:0.1185;2:0.426383,0.543430,0.062555,0.029083:0.0932;2:0.469517,0.190537,0.065358,0.021904:0.0861;2:0.391019,0.728048,0.031426,0.039198:0.0854;2:0.423627,0.543552,0.054602,0.025014:0.0691;2:0.443891,0.516084,0.033534,0.064859:0.0645;2:0.394264,0.728398,0.043772,0.046027:0.0583;2:0.443473,0.309675,0.039138,0.056349:0.0521","2:0.438564,0.420967,0.048603,0.023572;2:0.434822,0.326643,0.021311,0.021299","2:0.676190,0.481053,0.042254,0.124012:0.4526;2:0.468267,0.190451,0.061496,0.017874:0.3988;2:0.624397,0.121502,0.084781,0.030551:0.2717;2:0.625320,0.124462,0.079543,0.021694:0.1455;2:0.475698,0.411528,0.124564,0.041167:0.1369;2:0.442832,0.294510,0.034327,0.025182:0.1185;2:0.426383,0.543430,0.062555,0.029083:0.0932;2:0.469517,0.190537,0.065358,0.021904:0.0861;2:0.391019,0.728048,0.031426,0.039198:0.0854;2:0.423627,0.543552,0.054602,0.025014:0.0691;2:0.443891,0.516084,0.033534,0.064859:0.0645;2:0.394264,0.728398,0.043772,0.046027:0.0583;2:0.443473,0.309675,0.039138,0.056349:0.0521",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-006,6,val,02432_02559,tactile3-da-002,mixed_fn_fp_damage_area,105.8692,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/006_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/006_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.jpg,3,11,0,3,11,1,2,1,0.001082,0.3738,True,"2:0.579360,0.492341,0.022551,0.088431;2:0.622700,0.493542,0.022833,0.095919;2:0.345194,0.732928,0.019732,0.054833","2:0.602652,0.493066,0.078118,0.102223:0.3738;2:0.514112,0.168288,0.069144,0.084547:0.3599;2:0.430516,0.082848,0.066769,0.081335:0.2679;2:0.618679,0.061560,0.066210,0.081392:0.1931;2:0.493066,0.493037,0.075569,0.097503:0.1880;2:0.485642,0.618581,0.075790,0.101590:0.1639;2:0.525084,0.010892,0.066071,0.021613:0.1497;2:0.616391,0.161318,0.073977,0.086051:0.1226;2:0.411728,0.282356,0.066817,0.073806:0.1020;2:0.526091,0.010820,0.073832,0.021640:0.0798;2:0.600086,0.619448,0.081199,0.115512:0.0738","2:0.579360,0.492341,0.022551,0.088431;2:0.622700,0.493542,0.022833,0.095919;2:0.345194,0.732928,0.019732,0.054833","2:0.602652,0.493066,0.078118,0.102223:0.3738;2:0.514112,0.168288,0.069144,0.084547:0.3599;2:0.430516,0.082848,0.066769,0.081335:0.2679;2:0.618679,0.061560,0.066210,0.081392:0.1931;2:0.493066,0.493037,0.075569,0.097503:0.1880;2:0.485642,0.618581,0.075790,0.101590:0.1639;2:0.525084,0.010892,0.066071,0.021613:0.1497;2:0.616391,0.161318,0.073977,0.086051:0.1226;2:0.411728,0.282356,0.066817,0.073806:0.1020;2:0.526091,0.010820,0.073832,0.021640:0.0798;2:0.600086,0.619448,0.081199,0.115512:0.0738",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-007,7,val,02688_02815,tactile3-da-001,mixed_fn_fp_damage_area,105.3643,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/007_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/007_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.jpg,3,11,0,3,11,1,1,1,0.002281,0.4474,True,"2:0.534907,0.255077,0.148763,0.015333;2:0.537141,0.307109,0.154124,0.022371;2:0.596887,0.403473,0.055842,0.089548","2:0.603401,0.432049,0.047747,0.033119:0.4474;2:0.410692,0.444128,0.083903,0.048639:0.3751;2:0.544554,0.327884,0.138694,0.069128:0.3160;2:0.571557,0.255911,0.073265,0.016024:0.2499;2:0.544432,0.316919,0.137690,0.048681:0.1568;2:0.412272,0.434324,0.078748,0.027846:0.1490;2:0.412650,0.434205,0.084335,0.031278:0.1306;2:0.414413,0.299552,0.033777,0.046019:0.1300;2:0.570505,0.257161,0.077545,0.021182:0.0966;2:0.602681,0.607163,0.031993,0.044831:0.0749;2:0.385575,0.458716,0.034747,0.019017:0.0651","2:0.534907,0.255077,0.148763,0.015333;2:0.537141,0.307109,0.154124,0.022371;2:0.596887,0.403473,0.055842,0.089548","2:0.603401,0.432049,0.047747,0.033119:0.4474;2:0.410692,0.444128,0.083903,0.048639:0.3751;2:0.544554,0.327884,0.138694,0.069128:0.3160;2:0.571557,0.255911,0.073265,0.016024:0.2499;2:0.544432,0.316919,0.137690,0.048681:0.1568;2:0.412272,0.434324,0.078748,0.027846:0.1490;2:0.412650,0.434205,0.084335,0.031278:0.1306;2:0.414413,0.299552,0.033777,0.046019:0.1300;2:0.570505,0.257161,0.077545,0.021182:0.0966;2:0.602681,0.607163,0.031993,0.044831:0.0749;2:0.385575,0.458716,0.034747,0.019017:0.0651",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-008,8,val,04352_04479,tactile3-da-001,mixed_fn_fp_damage_area,105.2964,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/008_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/008_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.jpg,3,11,0,3,11,1,1,1,0.000518,0.2619,True,"2:0.574116,0.288741,0.059981,0.008633;2:0.382894,0.271346,0.050651,0.016969;2:0.560188,0.986636,0.221596,0.023870","2:0.471167,0.111576,0.213390,0.037189:0.2619;2:0.469342,0.463097,0.291532,0.099403:0.2473;2:0.465805,0.486938,0.299561,0.147651:0.0993;2:0.471738,0.264612,0.249160,0.040462:0.0939;2:0.466848,0.591211,0.312695,0.058849:0.0933;2:0.463605,0.653307,0.342438,0.180894:0.0873;2:0.474375,0.270124,0.248700,0.028599:0.0744;2:0.472107,0.270769,0.248225,0.028597:0.0679;2:0.475856,0.009145,0.198783,0.018291:0.0606;2:0.470242,0.435944,0.285080,0.046783:0.0593;2:0.468946,0.987946,0.390602,0.024108:0.0525","2:0.574116,0.288741,0.059981,0.008633;2:0.382894,0.271346,0.050651,0.016969;2:0.560188,0.986636,0.221596,0.023870","2:0.471167,0.111576,0.213390,0.037189:0.2619;2:0.469342,0.463097,0.291532,0.099403:0.2473;2:0.465805,0.486938,0.299561,0.147651:0.0993;2:0.471738,0.264612,0.249160,0.040462:0.0939;2:0.466848,0.591211,0.312695,0.058849:0.0933;2:0.463605,0.653307,0.342438,0.180894:0.0873;2:0.474375,0.270124,0.248700,0.028599:0.0744;2:0.472107,0.270769,0.248225,0.028597:0.0679;2:0.475856,0.009145,0.198783,0.018291:0.0606;2:0.470242,0.435944,0.285080,0.046783:0.0593;2:0.468946,0.987946,0.390602,0.024108:0.0525",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-009,9,val,04096_04223,tactile3-da-001,mixed_fn_fp_damage_area,101.9195,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/009_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/009_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.jpg,3,13,1,2,12,1,1,1,0.000074,0.5839,False,"2:0.516558,0.429126,0.189378,0.023411;2:0.624413,0.207934,0.007301,0.018242;2:0.629923,0.274552,0.006672,0.011019","2:0.515177,0.428338,0.193685,0.025486:0.7626;2:0.525204,0.355949,0.028357,0.018987:0.5839;2:0.523519,0.333068,0.022479,0.018034:0.5834;2:0.463994,0.261487,0.018318,0.009818:0.4493;2:0.433213,0.269588,0.025832,0.018598:0.4158;2:0.579790,0.293045,0.020266,0.007770:0.1952;2:0.591597,0.301426,0.013064,0.006471:0.1692;2:0.375054,0.769411,0.017640,0.021417:0.1553;2:0.656702,0.572446,0.020501,0.027091:0.0746;2:0.464107,0.150680,0.012641,0.008017:0.0732;2:0.681643,0.769385,0.023816,0.020187:0.0687;2:0.382070,0.768686,0.032798,0.021853:0.0686;2:0.578623,0.292135,0.022086,0.008615:0.0658","2:0.624413,0.207934,0.007301,0.018242;2:0.629923,0.274552,0.006672,0.011019","2:0.525204,0.355949,0.028357,0.018987:0.5839;2:0.523519,0.333068,0.022479,0.018034:0.5834;2:0.463994,0.261487,0.018318,0.009818:0.4493;2:0.433213,0.269588,0.025832,0.018598:0.4158;2:0.579790,0.293045,0.020266,0.007770:0.1952;2:0.591597,0.301426,0.013064,0.006471:0.1692;2:0.375054,0.769411,0.017640,0.021417:0.1553;2:0.656702,0.572446,0.020501,0.027091:0.0746;2:0.464107,0.150680,0.012641,0.008017:0.0732;2:0.681643,0.769385,0.023816,0.020187:0.0687;2:0.382070,0.768686,0.032798,0.021853:0.0686;2:0.578623,0.292135,0.022086,0.008615:0.0658",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
tactile3-da-final-010,10,val,03840_03967,tactile3-da-001,mixed_fn_fp_damage_area,99.8306,review_tactile_damage_area_label_or_negative,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/010_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/010_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.jpg,3,10,0,3,10,1,1,1,0.007335,0.5638,True,"2:0.499607,0.054847,0.191433,0.090318;2:0.508099,0.207805,0.224636,0.117830;2:0.537081,0.126986,0.127267,0.057635","2:0.498018,0.037152,0.184098,0.040808:0.5638;2:0.506558,0.241593,0.219133,0.039797:0.2016;2:0.506334,0.246716,0.217074,0.029666:0.1890;2:0.503077,0.176634,0.210857,0.037410:0.1369;2:0.426523,0.140694,0.061650,0.048005:0.0795;2:0.409746,0.535617,0.077627,0.143705:0.0716;2:0.501058,0.149486,0.211990,0.094562:0.0580;2:0.513085,0.541135,0.287943,0.142421:0.0553;2:0.502268,0.176914,0.212548,0.037976:0.0525;2:0.397059,0.534415,0.052076,0.143768:0.0514","2:0.499607,0.054847,0.191433,0.090318;2:0.508099,0.207805,0.224636,0.117830;2:0.537081,0.126986,0.127267,0.057635","2:0.498018,0.037152,0.184098,0.040808:0.5638;2:0.506558,0.241593,0.219133,0.039797:0.2016;2:0.506334,0.246716,0.217074,0.029666:0.1890;2:0.503077,0.176634,0.210857,0.037410:0.1369;2:0.426523,0.140694,0.061650,0.048005:0.0795;2:0.409746,0.535617,0.077627,0.143705:0.0716;2:0.501058,0.149486,0.211990,0.094562:0.0580;2:0.513085,0.541135,0.287943,0.142421:0.0553;2:0.502268,0.176914,0.212548,0.037976:0.0525;2:0.397059,0.534415,0.052076,0.143768:0.0514",,,,accept_existing_labels|fix_tactile_damage_area_bbox|remove_false_damage_area_label|add_missing_tactile_damage_area|exclude_unclear
