review_id,review_order,source_bucket,confidence,gt_box_xywhn,pred_box_xywhn,source_image,sanitized_image_path,source_label,overlay_path,crop_path,review_notes,manual_label_required,source_label_box_count,package_image_path,package_initial_label_path,package_final_label_path,package_overlay_path,package_crop_path,package_image_width,package_image_height
v3-review-082,4,false_positive_extra_box,0.336823,,"0.451260,0.573435,0.251342,0.044295:0.336823",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210721_0000062925.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0013_5a72475851.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210721_0000062925.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/004_v3-review-082_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/004_v3-review-082_false_positive_extra_box.jpg,어두운 마모/파손 의심 부위가 있으나 기존/후보 박스 범위 재정의 필요,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0013_5a72475851.jpg,labels_initial/wsv3_img_0013_5a72475851.txt,labels_final/wsv3_img_0013_5a72475851.txt,overlays/004_v3-review-082_false_positive_extra_box.jpg,crops/004_v3-review-082_false_positive_extra_box.jpg,1152,2048
v3-review-083,5,false_positive_extra_box,0.305262,,"0.437334,0.472096,0.238023,0.043480:0.305262",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210721_0000062925.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0013_5a72475851.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210721_0000062925.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/005_v3-review-083_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/005_v3-review-083_false_positive_extra_box.jpg,이음부 마모/파손 의심 부위가 있으나 박스 위치와 범위 수정 필요,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0013_5a72475851.jpg,labels_initial/wsv3_img_0013_5a72475851.txt,labels_final/wsv3_img_0013_5a72475851.txt,overlays/005_v3-review-083_false_positive_extra_box.jpg,crops/005_v3-review-083_false_positive_extra_box.jpg,1152,2048
v3-review-099,12,false_positive_extra_box,0.262737,,"0.558932,0.395017,0.113068,0.030229:0.262737",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210811_0000158622.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0018_cbb2f7c226.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210811_0000158622.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/012_v3-review-099_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/012_v3-review-099_false_positive_extra_box.jpg,점자블럭 모서리 박리/파손이 있으나 기존 박스가 일부만 포함,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0018_cbb2f7c226.jpg,labels_initial/wsv3_img_0018_cbb2f7c226.txt,labels_final/wsv3_img_0018_cbb2f7c226.txt,overlays/012_v3-review-099_false_positive_extra_box.jpg,crops/012_v3-review-099_false_positive_extra_box.jpg,1152,2048
v3-review-100,13,false_positive_extra_box,0.475851,,"0.582410,0.465833,0.081187,0.043758:0.475851",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210813_0000214336.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0019_d6844841fe.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210813_0000214336.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/013_v3-review-100_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/013_v3-review-100_false_positive_extra_box.jpg,점자블럭 가장자리 대형 박리/노출 파손; 수동 박스 필요,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0019_d6844841fe.jpg,labels_initial/wsv3_img_0019_d6844841fe.txt,labels_final/wsv3_img_0019_d6844841fe.txt,overlays/013_v3-review-100_false_positive_extra_box.jpg,crops/013_v3-review-100_false_positive_extra_box.jpg,1152,2048
v3-review-101,14,false_positive_extra_box,0.387403,,"0.515610,0.115114,0.059790,0.018937:0.387403",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210815_0000223148.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0020_feca97a29f.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210815_0000223148.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/014_v3-review-101_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/014_v3-review-101_false_positive_extra_box.jpg,중앙 박리 파손이 기존 초록 박스에 포함되지 않아 추가 라벨 필요,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0020_feca97a29f.jpg,labels_initial/wsv3_img_0020_feca97a29f.txt,labels_final/wsv3_img_0020_feca97a29f.txt,overlays/014_v3-review-101_false_positive_extra_box.jpg,crops/014_v3-review-101_false_positive_extra_box.jpg,1152,2048
v3-review-102,15,false_positive_extra_box,0.292800,,"0.535699,0.251207,0.143100,0.088767:0.292800",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210829_0000386808.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0021_51453cd280.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210829_0000386808.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/015_v3-review-102_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/015_v3-review-102_false_positive_extra_box.jpg,대면적 박리 파손이 명확하나 박스 수동 조정 필요,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0021_51453cd280.jpg,labels_initial/wsv3_img_0021_51453cd280.txt,labels_final/wsv3_img_0021_51453cd280.txt,overlays/015_v3-review-102_false_positive_extra_box.jpg,crops/015_v3-review-102_false_positive_extra_box.jpg,1152,2048
v3-review-104,16,false_positive_extra_box,0.552764,,"0.426504,0.435683,0.071824,0.035538:0.552764",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0022_2c8938e81f.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/016_v3-review-104_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/016_v3-review-104_false_positive_extra_box.jpg,모서리 파손이 있으나 기존 초록 박스가 전체 파손 범위를 충분히 포함하지 않음,yes; create/edit YOLO label manually before training,2,images/wsv3_img_0022_2c8938e81f.jpg,labels_initial/wsv3_img_0022_2c8938e81f.txt,labels_final/wsv3_img_0022_2c8938e81f.txt,overlays/016_v3-review-104_false_positive_extra_box.jpg,crops/016_v3-review-104_false_positive_extra_box.jpg,1152,2048
v3-review-105,17,false_positive_extra_box,0.368167,,"0.391115,0.583721,0.058330,0.110246:0.368167",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0022_2c8938e81f.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/017_v3-review-105_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/017_v3-review-105_false_positive_extra_box.jpg,측면 박리/파손이 명확하나 박스 재라벨 필요,yes; create/edit YOLO label manually before training,2,images/wsv3_img_0022_2c8938e81f.jpg,labels_initial/wsv3_img_0022_2c8938e81f.txt,labels_final/wsv3_img_0022_2c8938e81f.txt,overlays/017_v3-review-105_false_positive_extra_box.jpg,crops/017_v3-review-105_false_positive_extra_box.jpg,1152,2048
v3-review-106,18,false_positive_extra_box,0.257584,,"0.381796,0.595026,0.033170,0.082445:0.257584",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0022_2c8938e81f.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/018_v3-review-106_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/018_v3-review-106_false_positive_extra_box.jpg,측면 세로 파손이 명확하나 박스 재라벨 필요,yes; create/edit YOLO label manually before training,2,images/wsv3_img_0022_2c8938e81f.jpg,labels_initial/wsv3_img_0022_2c8938e81f.txt,labels_final/wsv3_img_0022_2c8938e81f.txt,overlays/018_v3-review-106_false_positive_extra_box.jpg,crops/018_v3-review-106_false_positive_extra_box.jpg,1152,2048
v3-review-113,21,false_positive_extra_box,0.288661,,"0.357503,0.916956,0.080705,0.084904:0.288661",/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_1_20210930_0000584177.jpg,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0025_59636086f1.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210930_0000584177.txt,datasets/walksafe_kr_v3_manual_review_20260520/images/overlays/021_v3-review-113_false_positive_extra_box.jpg,datasets/walksafe_kr_v3_manual_review_20260520/images/crops/021_v3-review-113_false_positive_extra_box.jpg,블럭 모서리 파손이 명확하나 박스 범위 재조정 필요,yes; create/edit YOLO label manually before training,4,images/wsv3_img_0025_59636086f1.jpg,labels_initial/wsv3_img_0025_59636086f1.txt,labels_final/wsv3_img_0025_59636086f1.txt,overlays/021_v3-review-113_false_positive_extra_box.jpg,crops/021_v3-review-113_false_positive_extra_box.jpg,1152,2048
