candidate_id,source_dataset,source_split,source_image,source_label,source_bucket,target_class_id,target_class_name,confidence,gt_box_xywhn,pred_box_xywhn,manual_visual_label,curation_action,privacy_status,split_policy,status,notes
v3-failure-001,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_1_2_20210728_0000022477.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_1_2_20210728_0000022477.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.922097,,"0:0.604282,0.499929,0.436116,0.999613:0.922097",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-002,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_5_2_20210924_0000542802.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_5_2_20210924_0000542802.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.916381,,"0:0.477764,0.499619,0.404046,0.998712:0.916381",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-003,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_1_1_20211021_0000724389.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_1_1_20211021_0000724389.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.800088,,"0:0.513361,0.500051,0.399473,0.999897:0.800088",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-004,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_1_2_20211023_0000753836.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_1_2_20211023_0000753836.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.759806,,"0:0.423361,0.499830,0.433575,0.999660:0.759806",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-005,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_1_1_20211020_0000683154.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_1_1_20211020_0000683154.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.673227,,"0:0.538046,0.499970,0.379935,0.999752:0.673227",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-006,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_3_1_20211001_0000579147.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_3_1_20211001_0000579147.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.612976,,"0:0.544769,0.499764,0.419393,0.999527:0.612976",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-007,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_1_1_20210827_0000389715.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_1_1_20210827_0000389715.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.558367,,"0:0.509846,0.499794,0.401479,0.999100:0.558367",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-008,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_4_1_20210927_0000550491.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_4_1_20210927_0000550491.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.506503,,"0:0.486361,0.500000,0.393225,1.000000:0.506503",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-009,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_5_1_20210730_0000065628.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_5_1_20210730_0000065628.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.476294,,"0:0.513504,0.500000,0.405394,1.000000:0.476294",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-010,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_1_2_20210728_0000022477.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_1_2_20210728_0000022477.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.471523,,"0:0.454238,0.451426,0.055363,0.057947:0.471523",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-011,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_6_1_20210816_0000459657.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_6_1_20210816_0000459657.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.458404,,"0:0.609626,0.499924,0.442731,0.999848:0.458404",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-012,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_0_1_4_1_20210831_0000436530.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_0_1_4_1_20210831_0000436530.txt,false_positive_normal_tactile,0,damaged_tactile_block,0.451970,,"0:0.485868,0.499943,0.422774,0.999886:0.451970",normal_tactile_block_false_positive,keep_as_hard_negative,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,정상 점자블록 또는 표면 질감/그림자를 damaged_tactile_block으로 탐지함
v3-failure-013,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_4_2_20210927_0000551201.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_4_2_20210927_0000551201.txt,missed_defect,0,damaged_tactile_block,0.951336,"0:0.504466,0.114907,0.222626,0.083230","0:0.517823,0.499894,0.420421,0.999232:0.951336",true_damage_localization_error,keep_positive_and_improve_box_localization,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,파손/박리 결함은 보이나 예측 박스가 긴 점자블록 strip으로 퍼져 GT와 IoU가 낮음
v3-failure-014,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_4_2_20210927_0000551201.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_4_2_20210927_0000551201.txt,missed_defect,0,damaged_tactile_block,0.951336,"0:0.508206,0.194800,0.233572,0.086059","0:0.517823,0.499894,0.420421,0.999232:0.951336",true_damage_localization_error,keep_positive_and_improve_box_localization,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,파손/박리 결함은 보이나 예측 박스가 긴 점자블록 strip으로 퍼져 GT와 IoU가 낮음
v3-failure-015,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_1_3_20210809_0000142446.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_3_20210809_0000142446.txt,missed_defect,0,damaged_tactile_block,0.948229,"0:0.533346,0.574095,0.356906,0.175429","0:0.500202,0.499659,0.465800,0.999319:0.948229",true_damage_localization_error,keep_positive_and_improve_box_localization,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,파손/박리 결함은 보이나 예측 박스가 긴 점자블록 strip으로 퍼져 GT와 IoU가 낮음
v3-failure-016,walksafe_kr_v2,test_subset,datasets/walksafe_kr_v2/images/test/aihub513_tactile_2_09_1_1_5_2_20211022_0000687657.jpg,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_5_2_20211022_0000687657.txt,missed_defect,0,damaged_tactile_block,0.947829,"0:0.481607,0.657485,0.330807,0.164913","0:0.472915,0.500094,0.429343,0.999562:0.947829",true_damage_localization_error,keep_positive_and_improve_box_localization,no_face_or_license_plate_visible_in_contact_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_review,파손/박리 결함은 보이나 예측 박스가 긴 점자블록 strip으로 퍼져 GT와 IoU가 낮음
