candidate_id,source_dataset,source_split,source_image,max_confidence,detection_count,manual_visual_label,curation_action,privacy_status,split_policy,status,notes
v3-vl1vs1-fp-001,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_c5234825a8_2_09_0_1_1_1_20210828_0000379671.jpg,0.934891,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-002,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_1985eb965e_2_09_0_1_1_1_20210927_0000563838.jpg,0.922201,3,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-003,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_6777ff6309_2_09_0_1_1_1_20210911_0000498956.jpg,0.886510,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-004,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_18f9d394bf_2_09_0_1_1_1_20210728_0000166679.jpg,0.884778,3,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함; 라벨은 정상 hard-negative로 유지하되 마모가 강해 threshold/augmentation 검토 우선
v3-vl1vs1-fp-005,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_019c6be768_2_09_0_1_1_1_20210917_0000517196.jpg,0.874908,2,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-006,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_b4dd51b800_2_09_0_1_1_1_20210726_0000075644.jpg,0.862970,2,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-007,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_1fa245c253_2_09_0_1_4_1_20210729_0000028200.jpg,0.804336,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-008,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_a77998084d_2_09_0_1_1_1_20210913_0000499088.jpg,0.754802,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-009,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_ac9c309a07_2_09_0_1_1_1_20210723_0000012080.jpg,0.712451,2,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함; 라벨은 정상 hard-negative로 유지하되 마모가 강해 threshold/augmentation 검토 우선
v3-vl1vs1-fp-010,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_f9e16cb5dc_2_09_0_1_1_2_20211020_0000707137.jpg,0.632726,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함; 라벨은 정상 hard-negative로 유지하되 마모가 강해 threshold/augmentation 검토 우선
